Date,Exchange
4-Jan-22,108.666
5-Jan-22,108.666
6-Jan-22,108.666
7-Jan-22,108.666
8-Jan-22,108.666
9-Jan-22,108.666
10-Jan-22,108.666
11-Jan-22,108.666
12-Jan-22,108.666
13-Jan-22,108.666
14-Jan-22,112.8228
15-Jan-22,112.8228
16-Jan-22,112.8228
17-Jan-22,112.8228
18-Jan-22,112.8228
19-Jan-22,112.8228
20-Jan-22,112.8228
21-Jan-22,115.4223
22-Jan-22,115.4223
23-Jan-22,115.4223
24-Jan-22,115.4223
25-Jan-22,115.4223
26-Jan-22,115.4223
27-Jan-22,115.4223
28-Jan-22,116.65
29-Jan-22,116.65
30-Jan-22,116.65
31-Jan-22,116.65
1-Feb-22,116.65
2-Feb-22,118.8748
3-Feb-22,118.8748
4-Feb-22,118.8748
5-Feb-22,118.8748
6-Feb-22,118.8748
7-Feb-22,118.8748
8-Feb-22,118.8748
9-Feb-22,120.5174
10-Feb-22,120.5174
11-Feb-22,120.5174
12-Feb-22,120.5174
13-Feb-22,120.5174
14-Feb-22,120.5174
15-Feb-22,124.0189
16-Feb-22,124.0189
17-Feb-22,124.0189
18-Feb-22,124.0189
19-Feb-22,124.0189
20-Feb-22,124.0189
21-Feb-22,124.0189
22-Feb-22,127.4864
23-Feb-22,127.4864
24-Feb-22,127.4864
25-Feb-22,127.4864
26-Feb-22,127.4864
27-Feb-22,127.4864
28-Feb-22,127.4864
1-Mar-22,130.1567
2-Mar-22,130.1567
3-Mar-22,130.1567
4-Mar-22,130.1567
5-Mar-22,130.1567
6-Mar-22,130.1567
7-Mar-22,134.082
8-Mar-22,134.082
9-Mar-22,134.082
10-Mar-22,134.082
11-Mar-22,134.082
12-Mar-22,134.082
13-Mar-22,134.082
14-Mar-22,138.1979
15-Mar-22,138.1979
16-Mar-22,138.1979
17-Mar-22,138.1979
18-Mar-22,138.1979
19-Mar-22,138.1979
20-Mar-22,138.1979
21-Mar-22,142.4237
22-Mar-22,142.4237
23-Mar-22,142.4237
24-Mar-22,142.4237
25-Mar-22,142.4237
26-Mar-22,145.8721
27-Mar-22,145.8721
28-Mar-22,145.8721
29-Mar-22,145.8721
30-Mar-22,145.8721
31-Mar-22,150.2157
1-Apr-22,150.2157
2-Apr-22,150.2157
3-Apr-22,150.2157
4-Apr-22,155.1419
5-Apr-22,155.1419
6-Apr-22,155.1419
7-Apr-22,155.1419
8-Apr-22,159.3482
9-Apr-22,159.3482
10-Apr-22,159.3482
11-Apr-22,277.0262
12-Apr-22,278.761
13-Apr-22,279.8104
14-Apr-22,283.6546
15-Apr-22,284.9378
16-Apr-22,284.9378
17-Apr-22,284.9378
18-Apr-22,286.7634
19-Apr-22,288.6439
20-Apr-22,291.1117
21-Apr-22,293.2709
22-Apr-22,295.6945
23-Apr-22,296.6801
24-Apr-22,298.5504
25-Apr-22,298.5504
26-Apr-22,298.5504
27-Apr-22,299.6819
28-Apr-22,301.4994
29-Apr-22,304.4223
30-Apr-22,307.3619
1-May-22,307.3619
2-May-22,307.3619
3-May-22,307.3619
4-May-22,307.3619
5-May-22,309.0693
6-May-22,311.4929
7-May-22,312.0164
8-May-22,325.5639
9-May-22,325.5639
10-May-22,325.5639
11-May-22,326.718
12-May-22,331.0962
13-May-22,333.4552
14-May-22,336.4035
15-May-22,339.1571
16-May-22,339.1571
17-May-22,339.1571
18-May-22,341.2498
19-May-22,344.0152
20-May-22,347.3129
21-May-22,351.9584
22-May-22,351.9584
23-May-22,351.9584
24-May-22,355.1833
25-May-22,359.722
26-May-22,362.6034
27-May-22,365.2381
28-May-22,367.2153
29-May-22,367.2153
30-May-22,367.2153
31-May-22,370.9646
1-Jun-22,372.874
2-Jun-22,375.444
3-Jun-22,376.8387
4-Jun-22,376.8387
5-Jun-22,376.8387
6-Jun-22,380.0225
7-Jun-22,380.4024
8-Jun-22,382.4981
9-Jun-22,385.4131
10-Jun-22,385.1511
11-Jun-22,385.1511
12-Jun-22,385.1511
13-Jun-22,388.776
14-Jun-22,393.8579
15-Jun-22,396.894
16-Jun-22,399.4046
17-Jun-22,403.1787
18-Jun-22,403.1787
19-Jun-22,403.1787
20-Jun-22,404.4081
21-Jun-22,408.5677
22-Jun-22,413.4325
23-Jun-22,423.4934
24-Jun-22,429.3095
25-Jun-22,429.3095
26-Jun-22,429.3095
27-Jun-22,434.0519
28-Jun-22,439.1103
29-Jun-22,443.8823
30-Jun-22,449.6571
1-Jul-22,455.0111
3-Jul-22,455.0111
4-Jul-22,458.0672
5-Jul-22,458.0672
6-Jul-22,460.7741
7-Jul-22,460.7741
8-Jul-22,465.3915
9-Jul-22,465.3915
10-Jul-22,470.8067
11-Jul-22,470.8067
12-Jul-22,478.1262
13-Jul-22,478.1262
14-Jul-22,478.1262
15-Jul-22,485.4088
16-Jul-22,485.4088
17-Jul-22,488.6269
18-Jul-22,488.6269
19-Jul-22,493.0657
20-Jul-22,493.0657
21-Jul-22,498.5334
22-Jul-22,498.5334
23-Jul-22,500.6271
24-Jul-22,500.6271
25-Jul-22,500.6271
26-Jul-22,507.0926
27-Jul-22,507.0926
28-Jul-22,513.9277
29-Jul-22,513.9277
30-Jul-22,521.2673
31-Jul-22,521.2673
1-Aug-22,528.0554
2-Aug-22,532.0148
3-Aug-22,532.0148
4-Aug-22,535.9859
5-Aug-22,535.9859
6-Aug-22,542.7004
7-Aug-22,542.7004
8-Aug-22,546.8254
9-Aug-22,546.8254
10-Aug-22,551.9291
11-Aug-22,551.9291
12-Aug-22,559.8774
13-Aug-22,559.8774
14-Aug-22,565.8345
15-Aug-22,565.8345
16-Aug-22,572.9048
17-Aug-22,572.9048
18-Aug-22,572.9048
19-Aug-22,580.5865
20-Aug-22,582.0625
21-Aug-22,582.0625
22-Aug-22,585.0986
23-Aug-22,585.0986
24-Aug-22,599.2253
25-Aug-22,599.2253
26-Aug-22,604.2583
27-Aug-22,604.5012
28-Aug-22,604.5012
29-Aug-22,604.5012
30-Aug-22,604.1834
31-Aug-22,603.9902
1-Sep-22,603.9902
2-Sep-22,608.7014
3-Sep-22,613.377
4-Sep-22,614.1789
5-Sep-22,614.2677
6-Sep-22,614.2677
7-Sep-22,614.2677
8-Sep-22,614.6237
9-Sep-22,618.3696
10-Sep-22,618.3696
11-Sep-22,621.624
12-Sep-22,621.8788
13-Sep-22,621.8922
14-Sep-22,621.9627
15-Sep-22,621.9627
16-Sep-22,621.9627
17-Sep-22,623.2271
18-Sep-22,623.2271
19-Sep-22,626.8524
20-Sep-22,626.9728
21-Sep-22,627.1642
22-Sep-22,627.1642
23-Sep-22,628.0003
24-Sep-22,628.0003
25-Sep-22,628.0003
26-Sep-22,628.2069
27-Sep-22,628.2304
28-Sep-22,628.3047
29-Sep-22,628.5622
30-Sep-22,628.9992
1-Oct-22,629.5965
2-Oct-22,629.5965
3-Oct-22,629.8555
4-Oct-22,629.8708
5-Oct-22,629.9317
6-Oct-22,630.9359
7-Oct-22,630.9359
8-Oct-22,632.1556
9-Oct-22,632.2455
10-Oct-22,632.2455
11-Oct-22,632.2455
12-Oct-22,632.2597
13-Oct-22,632.7703
14-Oct-22,633.7681
15-Oct-22,633.7681
16-Oct-22,633.7681
17-Oct-22,634.5367
18-Oct-22,634.7746
19-Oct-22,634.7746
20-Oct-22,634.8868
21-Oct-22,634.9562
22-Oct-22,635.4799
23-Oct-22,635.4799
24-Oct-22,636.3728
25-Oct-22,636.4098
26-Oct-22,636.7837
27-Oct-22,636.7837
28-Oct-22,636.7837
29-Oct-22,636.8016
30-Oct-22,638.2277
31-Oct-22,638.2277
1-Nov-22,639.1201
2-Nov-22,639.1701
3-Nov-22,639.3123
4-Nov-22,639.3123
5-Nov-22,640.635
6-Nov-22,640.635
7-Nov-22,640.635
8-Nov-22,643.3081
9-Nov-22,643.3081
10-Nov-22,643.3081
11-Nov-22,646.4123
12-Nov-22,646.4123
13-Nov-22,646.7846
14-Nov-22,646.7846
15-Nov-22,646.7846
16-Nov-22,646.7846
17-Nov-22,647.085
18-Nov-22,652.7132
19-Nov-22,654.9284
20-Nov-22,654.963
21-Nov-22,654.963
22-Nov-22,654.963
23-Nov-22,655.5619
24-Nov-22,655.5619
25-Nov-22,655.5619
26-Nov-22,656.7892
27-Nov-22,656.7892
28-Nov-22,658.7373
29-Nov-22,661.7149
30-Nov-22,661.9627
1-Dec-22,661.9627
2-Dec-22,661.9627
3-Dec-22,661.9627
4-Dec-22,662.7944
5-Dec-22,664.6924
6-Dec-22,664.6924
7-Dec-22,664.6924
8-Dec-22,668.9843
9-Dec-22,668.9843
10-Dec-22,668.9843
11-Dec-22,671.7242
12-Dec-22,671.7242
13-Dec-22,672.2049
14-Dec-22,672.7011
15-Dec-22,672.7011
16-Dec-22,672.7011
17-Dec-22,673.6247
18-Dec-22,673.6247
19-Dec-22,674.8354
20-Dec-22,674.8354
21-Dec-22,674.8354
22-Dec-22,676.228
23-Dec-22,676.228
24-Dec-22,676.228
25-Dec-22,679.8721
26-Dec-22,679.8721
27-Dec-22,681.6849
28-Dec-22,681.6849
29-Dec-22,684.3339
30-Dec-22,684.3339
31-Dec-22,684.3339
1-Jan-23,684.3339
2-Jan-23,684.3339
3-Jan-23,687.2836
4-Jan-23,690.2349
5-Jan-23,694.1992
6-Jan-23,699.8479
7-Jan-23,699.8479
8-Jan-23,699.8479
9-Jan-23,704.1765
10-Jan-23,704.9228
11-Jan-23,705.4164
12-Jan-23,708.6502
13-Jan-23,711.8963
14-Jan-23,714.5217
15-Jan-23,714.5217
16-Jan-23,714.5217
17-Jan-23,722.2308
18-Jan-23,732.0036
19-Jan-23,738.4115
20-Jan-23,746.6113
21-Jan-23,746.6113
22-Jan-23,746.6113
23-Jan-23,755.0467
24-Jan-23,764.547
25-Jan-23,779.3101
26-Jan-23,780.795
27-Jan-23,783.1934
28-Jan-23,783.1934
29-Jan-23,783.1934
30-Jan-23,785.5844
31-Jan-23,796.5215
1-Feb-23,801.6023
2-Feb-23,803.9186
3-Feb-23,805.8788
4-Feb-23,805.8788
5-Feb-23,805.8788
6-Feb-23,812.1532
7-Feb-23,817.0563
8-Feb-23,831.8147
9-Feb-23,835.0978
10-Feb-23,838.852
11-Feb-23,838.852
12-Feb-23,838.852
13-Feb-23,846.1039
14-Feb-23,850.0785
15-Feb-23,856.8403
16-Feb-23,860.7678
17-Feb-23,864.0822
18-Feb-23,864.0822
19-Feb-23,864.0822
20-Feb-23,871.1363
21-Feb-23,871.1363
22-Feb-23,875.6112
23-Feb-23,881.7513
24-Feb-23,884.2323
25-Feb-23,884.2323
26-Feb-23,884.2323
27-Feb-23,885.9619
28-Feb-23,889.1325
1-Mar-23,892.6349
2-Mar-23,896.903
3-Mar-23,899.4263
4-Mar-23,899.4263
5-Mar-23,899.4263
6-Mar-23,903.5621
7-Mar-23,904.7156
8-Mar-23,907.9236
9-Mar-23,908.6308
10-Mar-23,910.3559
11-Mar-23,910.3559
12-Mar-23,910.3559
13-Mar-23,910.9452
14-Mar-23,911.8166
15-Mar-23,912.5828
16-Mar-23,913.1361
17-Mar-23,913.6675
18-Mar-23,913.6675
19-Mar-23,913.6675
20-Mar-23,914.4678
21-Mar-23,914.9547
22-Mar-23,915.1822
23-Mar-23,915.8636
24-Mar-23,916.1134
25-Mar-23,916.1134
26-Mar-23,916.1134
27-Mar-23,916.6577
28-Mar-23,916.97
29-Mar-23,928.5887
30-Mar-23,929.1243
31-Mar-23,929.8618
1-Apr-23,929.8618
2-Apr-23,929.8618
3-Apr-23,932.4874
4-Apr-23,936.1228
5-Apr-23,944.7133
6-Apr-23,945.9365
7-Apr-23,945.9365
8-Apr-23,945.9365
9-Apr-23,945.9365
10-Apr-23,945.9365
11-Apr-23,949.8272
12-Apr-23,959.3111
13-Apr-23,963.5533
14-Apr-23,969.0105
15-Apr-23,969.0105
16-Apr-23,969.0105
17-Apr-23,978.9487
18-Apr-23,978.9487
19-Apr-23,989.0679
20-Apr-23,1000.0227
21-Apr-23,1000.4041
22-Apr-23,1000.4041
23-Apr-23,1000.4041
24-Apr-23,1000.6754
25-Apr-23,1010.9584
26-Apr-23,1021.2072
27-Apr-23,1033.6025
28-Apr-23,1047.4449
29-Apr-23,1047.4449
30-Apr-23,1047.4449
1-May-23,1047.4449
2-May-23,1059.6595
3-May-23,1070.4171
4-May-23,1088.9411
5-May-23,1096.9741
6-May-23,1096.9741
7-May-23,1096.9741
8-May-23,1112.7253
9-May-23,1125.6671
10-May-23,1212.5448
11-May-23,1222.274
12-May-23,1235.3493
13-May-23,1235.3493
14-May-23,1235.3493
15-May-23,1253.6581
16-May-23,1265.6205
17-May-23,1404.8039
18-May-23,1407.8179
19-May-23,1432.5022
20-May-23,1432.5022
21-May-23,1432.5022
22-May-23,1442.7309
23-May-23,1448.9388
24-May-23,1888.0119
25-May-23,1888.0119
26-May-23,1931.7079
27-May-23,1931.7079
28-May-23,1931.7079
29-May-23,1965.3643
30-May-23,1989.1122
31-May-23,2577.0564
1-Jun-23,2611.1693
2-Jun-23,2670.0225
3-Jun-23,2670.0225
4-Jun-23,2670.0225
5-Jun-23,2727.0405
6-Jun-23,2769.9366
7-Jun-23,3673.7718
8-Jun-23,4868.5152
9-Jun-23,5271.0000
10-Jun-23,5271.0000
11-Jun-23,5271.0000
12-Jun-23,5776.6115
13-Jun-23,5813.1435
14-Jun-23,6652.3400
15-Jun-23,6654.9777
16-Jun-23,6654.9882
17-Jun-23,6654.9882
18-Jun-23,6654.9882
19-Jun-23,6725.7203
20-Jun-23,6725.9903
21-Jun-23,6926.5764
22-Jun-23,6926.5764
23-Jun-23,6926.5764
24-Jun-23,6926.5764
25-Jun-23,6926.5764
26-Jun-23,6926.5874
27-Jun-23,6926.6984
28-Jun-23,6809.5987
29-Jun-23,6809.6789
30-Jun-23,6724.2520
1-Jul-23,6724.2520
2-Jul-23,6724.2520
3-Jul-23,5795.1529
4-Jul-23,5825.8693
5-Jul-23,5825.8703
6-Jul-23,5701.4701
7-Jul-23,5701.4701
8-Jul-23,5701.4701
9-Jul-23,5251.0640
10-Jul-23,5251.0640
11-Jul-23,5251.0640
12-Jul-23,4998.8352
13-Jul-23,4998.8352
14-Jul-23,4998.8352
15-Jul-23,4998.8352
16-Jul-23,4998.8352
17-Jul-23,4883.8208
18-Jul-23,4883.8208
19-Jul-23,4771.3854
20-Jul-23,4771.3854
21-Jul-23,4537.4909
22-Jul-23,4537.4909
23-Jul-23,4537.4909
24-Jul-23,4537.4909
25-Jul-23,4537.4909
26-Jul-23,4505.4232
27-Jul-23,4505.4232
28-Jul-23,4517.1359
29-Jul-23,4517.1359
30-Jul-23,4517.1359
31-Jul-23,4517.1359
1-Aug-23,4517.1359
2-Aug-23,4542.3710
3-Aug-23,4542.3710
4-Aug-23,4556.1616
5-Aug-23,4556.1616
6-Aug-23,4556.1616
7-Aug-23,4556.1616
8-Aug-23,4556.1616
9-Aug-23,4559.7414
10-Aug-23,4559.7414
11-Aug-23,4559.7414
12-Aug-23,4559.7414
13-Aug-23,4559.7414
14-Aug-23,4559.7414
15-Aug-23,4559.7414
16-Aug-23,4559.7414
17-Aug-23,4577.5024
18-Aug-23,4577.5024
19-Aug-23,4577.5024
20-Aug-23,4577.5024
21-Aug-23,4577.5024
22-Aug-23,4577.5024
23-Aug-23,4577.5024
24-Aug-23,4577.5024
25-Aug-23,4577.5024
26-Aug-23,4577.5024
27-Aug-23,4577.5024
28-Aug-23,4577.5024
29-Aug-23,4577.5024
30-Aug-23,4604.6233
31-Aug-23,4604.6233
1-Sep-23,4604.6233
2-Sep-23,4604.6233
3-Sep-23,4604.6233
4-Sep-23,4604.6233
5-Sep-23,4604.6233
6-Sep-23,4647.9681
7-Sep-23,4647.9681
8-Sep-23,4647.9681
9-Sep-23,4647.9681
10-Sep-23,4647.9681
11-Sep-23,4647.9681
12-Sep-23,4647.9681
13-Sep-23,4712.1675
14-Sep-23,4712.1675
15-Sep-23,4712.1675
16-Sep-23,4712.1675
17-Sep-23,4712.1675
18-Sep-23,4712.1675
19-Sep-23,4712.1675
20-Sep-23,5015.4279
21-Sep-23,5015.4279
22-Sep-23,5015.4279
23-Sep-23,5015.4279
24-Sep-23,5015.4279
25-Sep-23,5015.4279
26-Sep-23,5252.6558
27-Sep-23,5252.6558
28-Sep-23,5252.6558
29-Sep-23,5252.6558
2-Oct-23,5546.0678
3-Oct-23,5561.9974
4-Oct-23,5591.9615
5-Oct-23,5592.8791
6-Oct-23,5600.8332
7-Oct-23,5600.8332
8-Oct-23,5600.8332
9-Oct-23,5600.8332
10-Oct-23,5600.8332
11-Oct-23,5600.8332
12-Oct-23,5600.8332
13-Oct-23,5600.8332
14-Oct-23,5600.8332
15-Oct-23,5600.8332
16-Oct-23,5600.8332
17-Oct-23,5600.8332
18-Oct-23,5668.2204
19-Oct-23,5668.2204
20-Oct-23,5668.2204
21-Oct-23,5668.2204
22-Oct-23,5668.2204
23-Oct-23,5668.2204
24-Oct-23,5693.7825
25-Oct-23,5693.7825
26-Oct-23,5693.7825
27-Oct-23,5693.7825
28-Oct-23,5693.7825
29-Oct-23,5693.7825
30-Oct-23,5693.7825
31-Oct-23,5693.7825
1-Nov-23,5718.4090
2-Nov-23,5718.4090
3-Nov-23,5718.4090
4-Nov-23,5718.4090
5-Nov-23,5718.4090
6-Nov-23,5718.4090
7-Nov-23,5718.4090
8-Nov-23,5738.7217
9-Nov-23,5738.7217
10-Nov-23,5738.7217
11-Nov-23,5738.7217
12-Nov-23,5738.7217
13-Nov-23,5738.7217
14-Nov-23,5738.7217
15-Nov-23,5755.7081
16-Nov-23,5755.7081
17-Nov-23,5755.7081
18-Nov-23,5755.7081
19-Nov-23,5755.7081
20-Nov-23,5755.7081
21-Nov-23,5755.7081
22-Nov-23,5774.2758
23-Nov-23,5774.2758
24-Nov-23,5774.2758
25-Nov-23,5774.2758
26-Nov-23,5774.2758
27-Nov-23,5774.2758
28-Nov-23,5774.2758
29-Nov-23,5790.0545
30-Nov-23,5790.0545
1-Dec-23,5790.0545
2-Dec-23,5790.0545
3-Dec-23,5790.0545
4-Dec-23,5790.0545
5-Dec-23,5790.0545
6-Dec-23,5827.7972
7-Dec-23,5827.7972
8-Dec-23,5827.7972
9-Dec-23,5827.7972
10-Dec-23,5827.7972
11-Dec-23,5827.7972
12-Dec-23,5827.7972
13-Dec-23,5903.3898
14-Dec-23,5903.3898
15-Dec-23,5903.3898
16-Dec-23,5903.3898
17-Dec-23,5903.3898
18-Dec-23,5903.3898
19-Dec-23,5903.3898
20-Dec-23,5903.3898
21-Dec-23,5903.3898
22-Dec-23,5903.3898
23-Dec-23,5903.3898
24-Dec-23,5903.3898
25-Dec-23,5903.3898
26-Dec-23,5903.3898
27-Dec-23,5946.4371
28-Dec-23,5946.4371
29-Dec-23,5985.8272
30-Dec-23,6104.7225
31-Dec-23,6104.7226
